CountryCode,CountryName,Region,FertilityRate.1960,LifeExp.1960,FertilityRate.2013,LifeExp.2013
KIR,Kiribati,Oceania,6.788,49.21597561,3.765,65.76658537
KOR,"Korea, Rep.",Asia,6.155,53.00131707,1.187,81.4597561
KWT,Kuwait,Middle East,7.251,60.34795122,2.6,74.4627561
LAO,Lao PDR,Asia,5.961,43.20446341,3.063,65.6872439
LBN,Lebanon,Middle East,5.739,63.28012195,1.495,80.12887805
LBR,Liberia,Africa,6.406,34.78317073,4.793,60.52039024
LBY,Libya,Africa,7.202,42.64119512,2.507,71.65768293
LCA,St. Lucia,The Americas,6.967,57.3037561,1.913,74.91270732
LKA,Sri Lanka,Asia,5.541,59.74714634,2.339,74.24029268
LSO,Lesotho,Africa,5.839,46.51070732,3.222,49.33146341
LTU,Lithuania,Europe,2.56,69.84731707,1.6,74.16341463
LUX,Luxembourg,Europe,2.29,68.44639024,1.57,81.79756098
LVA,Latvia,Europe,1.94,69.78682927,1.44,73.9804878
MAC,"Macao SAR, China",Asia,4.945,64.66092683,1.204,80.33914634
MAR,Morocco,Africa,7.065,48.44663415,2.535,73.70904878
MDA,Moldova,Europe,3.328,61.81278049,1.456,68.8115122
MDG,Madagascar,Africa,7.3,39.97468293,4.468,64.67390244
MDV,Maldives,Asia,7.021,37.26863415,2.152,76.60260976
MEX,Mexico,The Americas,6.768,57.06563415,2.272,76.53265854
MKD,"Macedonia, FYR",Europe,3.842,60.62280488,1.511,75.18704878
MLI,Mali,Africa,6.967,28.21160976,6.314,57.53519512
MLT,Malta,Europe,3.62,67.60178049,1.43,80.74634146
MMR,Myanmar,Asia,6.051,42.73639024,2.239,65.65409756
MNE,Montenegro,Europe,3.521,63.70560976,1.666,74.75836585
MNG,Mongolia,Asia,6.953,48.36880488,2.657,69.06180488
MOZ,Mozambique,Africa,6.6,35.00370732,5.418,54.6415122
MRT,Mauritania,Africa,6.775,43.48309756,4.662,62.80270732
MUS,Mauritius,Africa,6.167,58.74521951,1.44,74.46
MWI,Malawi,Africa,6.94,37.77363415,5.22,61.466
MYS,Malaysia,Asia,6.194,59.47534146,1.956,74.5675122
NAM,Namibia,Africa,6.15,46.88039024,3.56,64.34387805
NCL,New Caledonia,Oceania,6.278,58.63902439,2.28,77.12195122
NER,Niger,Africa,7.407,35.51504878,7.623,60.82814634
NGA,Nigeria,Africa,6.354,37.18295122,5.707,52.44214634
NIC,Nicaragua,The Americas,7.336,46.99882927,2.3,74.5147561
NLD,Netherlands,Europe,3.12,73.39268293,1.72,81.10487805
NOR,Norway,Europe,2.85,73.5497561,1.85,81.45121951
